p93;i_6_p9;i_2_p9;p4;p1;p3;p5;region;p7;p92;p84;p91;p96;p10;p8;p81;p83;folio_encuesta;fecha;diferencia_edad_pareja;anios_convivencia_aprox
3;4;5;40;1;1;9;5;1;4;2002;37;1;4;4;1;1;5108607;2022-10-27;3;
3;6;7;31;2;2;13;5;8;3;2019;27;1;4;4;1;1;5108609;2022-10-27;4;
2;7;7;22;2;2;9;5;2;4;2022;25;;4;4;1;1;5108610;2022-10-27;-3;
1;3;5;60;2;2;7;5;1;6;1987;60;1;5;4;1;1;5108701;2022-10-13;0;
3;7;6;50;1;1;9;5;1;5;1999;48;1;3;4;1;1;5108702;2022-10-13;2;
1;5;6;25;2;2;9;5;2;6;2020;25;1;5;5;1;1;5108708;2022-10-17;0;
2;7;7;35;2;2;9;5;1;2;2012;40;1;3;3;1;1;5108803;2022-10-09;-5;
2;6;6;48;2;2;11;5;1;6;2000;50;1;5;5;1;1;5108807;2022-10-09;-2;
1;6;6;56;2;2;9;5;1;5;1994;51;1;3;4;1;1;5108901;2022-08-31;5;
3;7;3;35;1;1;9;5;1;5;2010;30;1;3;2;1;1;5108902;2022-08-31;5;
3;4;6;52;2;2;9;5;2;5;2022;44;1;;3;1;1;5108908;2022-08-31;8;
3;6;6;68;1;1;6;5;8;5;2012;25;2;3;3;1;1;5108909;2022-08-31;43;
3;6;6;59;1;1;9;5;2;3;2000;58;1;3;3;1;1;5109002;2022-08-24;1;
3;5;6;65;1;1;9;5;1;5;2002;71;1;3;4;1;1;5109005;2022-08-24;-6;
3;6;6;44;2;2;9;5;1;4;1998;47;1;4;4;1;1;5109101;2022-08-10;-3;
2;5;5;65;2;2;7;5;1;2;1981;59;1;2;3;1;1;5109102;2022-08-11;6;
1;7;5;73;2;2;9;5;1;6;1973;73;2;4;4;1;1;5109105;2022-08-11;0;
3;6;6;71;1;1;9;5;2;3;2017;64;;4;3;1;1;5109106;2022-08-11;7;
3;4;5;33;1;1;15;5;2;6;2015;35;1;4;3;1;1;5109108;2022-08-11;-2;
1;7;7;54;2;2;15;5;1;6;1994;55;1;4;4;1;1;5109110;2022-08-12;-1;
3;2;6;83;2;2;6;5;1;3;1970;82;2;3;2;1;1;5109207;2022-09-27;1;
1;6;7;35;2;2;9;5;1;6;2017;35;1;5;5;1;1;5109208;2022-09-27;0;
1;6;6;30;2;2;9;5;2;6;2014;35;1;4;5;1;1;5109209;2022-09-27;-5;
1;5;5;36;2;2;15;5;1;6;2010;41;1;4;5;1;1;5109302;2022-08-08;-5;
3;5;5;62;1;1;11;5;1;4;1983;57;1;4;4;1;1;5109303;2022-08-09;5;
3;7;7;35;1;1;9;5;1;4;2008;42;1;4;3;1;1;5109501;2022-09-21;-7;
2;6;6;68;2;2;13;5;1;2;1972;71;1;4;4;1;1;5109506;2022-10-03;-3;
3;7;7;69;1;1;8;5;1;3;1976;66;1;5;5;1;1;5109601;2022-08-09;3;
3;7;6;27;2;2;13;5;8;3;2014;27;1;4;4;1;1;5109701;2022-10-31;0;
3;7;6;32;1;1;9;5;8;4;2018;26;1;4;4;1;1;5109702;2022-10-31;6;
3;5;6;69;2;2;15;5;1;3;1976;70;2;4;4;1;1;5109705;2022-10-31;-1;
1;6;7;78;2;2;15;5;1;4;1970;81;1;5;5;1;1;5109801;2022-09-30;-3;
3;4;4;54;1;1;15;5;2;2;2010;53;1;4;4;1;1;5109803;2022-09-30;1;
3;5;6;46;1;1;15;5;1;3;2012;49;1;5;4;1;1;5109805;2022-09-30;-3;
3;6;6;59;1;1;9;5;1;4;2004;63;1;3;3;1;1;5109901;2022-09-07;-4;
3;6;6;45;1;1;13;5;1;3;2002;45;1;5;4;1;1;5110103;2022-10-29;0;
1;7;6;36;2;2;9;5;1;6;2012;38;1;4;5;1;1;5110107;2022-10-29;-2;
3;5;6;59;1;1;9;5;1;1;1995;59;1;4;3;1;1;5110204;2022-09-26;0;
3;7;7;40;1;1;15;5;1;1;2012;40;1;4;4;1;1;5110208;2022-09-26;0;
1;3;5;50;2;2;9;5;1;6;1998;55;1;3;4;1;1;5110407;2022-10-17;-5;
2;6;6;33;2;2;15;5;1;3;2014;35;1;5;5;1;1;5110408;2022-10-17;-2;
3;5;6;73;2;2;15;5;1;3;1989;80;2;4;4;1;1;5110603;2022-08-12;-7;
3;;7;70;1;1;8;5;1;5;1962;70;2;3;4;1;1;5110610;2022-09-22;0;
3;7;7;32;1;1;9;5;1;5;2021;30;1;5;4;1;1;5110701;2022-09-26;2;
3;4;4;57;1;1;9;5;1;5;1988;54;1;4;4;1;1;5110704;2022-09-26;3;
2;6;6;28;2;2;9;5;1;6;2020;28;1;5;4;1;1;5110708;2022-09-26;0;
1;7;6;47;2;2;9;5;2;6;2014;48;1;4;4;1;1;5110709;2022-09-26;-1;
3;7;7;31;1;1;15;5;1;3;2018;36;1;4;4;1;1;5110801;2022-08-22;-5;
3;7;7;60;2;2;10;5;1;3;1987;60;2;4;4;1;1;5110804;2022-08-31;0;
2;7;6;41;2;2;15;5;1;2;2005;42;1;4;4;1;1;5110809;2022-09-09;-1;
2;2;5;56;2;2;15;5;1;2;1989;57;2;5;4;1;1;5110903;2022-09-12;-1;
3;7;7;40;2;2;13;5;1;3;1999;41;1;5;4;1;1;5111006;2022-10-13;-1;
2;7;7;35;2;2;15;5;3;2;2015;40;1;4;4;1;1;5111101;2022-09-22;-5;
3;4;6;67;1;1;15;5;1;4;1981;63;2;4;5;1;1;5111102;2022-09-22;4;
3;6;5;25;2;2;13;5;2;3;2016;26;1;4;4;1;1;5111110;2022-10-12;-1;
3;4;5;40;1;1;9;5;8;4;2017;29;1;4;4;1;1;5111202;2022-10-31;11;
1;6;6;50;2;2;9;5;2;6;2012;60;1;3;3;1;1;5111205;2022-09-26;-10;
3;7;7;45;1;1;9;5;1;5;2005;35;1;4;5;1;1;5111207;2022-09-26;10;
1;6;3;33;2;2;9;5;2;2;2008;37;1;3;4;1;1;5111210;2022-10-12;-4;
2;4;6;51;2;2;7;5;8;1;2007;59;1;4;4;1;1;5111301;2022-09-14;-8;
2;6;6;64;2;2;13;5;1;2;1982;64;1;4;4;1;1;5111304;2022-09-14;0;
1;5;7;45;2;2;9;5;1;6;1992;60;1;4;3;1;1;5111401;2022-08-23;-15;
2;6;6;62;1;1;9;5;1;2;1991;55;1;3;2;1;1;5111402;2022-08-23;7;
3;4;6;40;1;1;9;5;1;4;2003;38;1;4;4;1;1;5111501;2022-10-31;2;
3;4;6;29;1;1;12;5;8;3;2015;27;1;4;4;1;1;5111506;2022-10-31;2;
3;4;5;45;1;1;13;5;2;4;2001;40;1;4;5;1;1;5111507;2022-10-31;5;
3;3;4;55;1;1;12;5;2;3;1997;55;1;5;4;1;1;5111508;2022-10-31;0;
3;3;5;55;2;2;9;5;2;3;1996;55;1;3;4;1;1;5111509;2022-10-31;0;
2;7;7;82;2;2;15;5;1;2;1965;85;2;4;5;1;1;5111606;2022-08-17;-3;
1;5;6;64;2;2;9;5;1;6;1983;67;1;2;4;1;1;5111701;2022-09-26;-3;
1;1;5;59;2;2;13;5;1;6;1983;62;2;4;4;1;1;5111703;2022-09-26;-3;
2;7;3;41;2;2;9;5;1;2;1999;43;1;4;5;1;1;5111706;2022-09-26;-2;
1;7;6;50;2;2;9;5;1;6;1993;52;1;4;4;1;1;5111801;2022-08-19;-2;
2;4;6;74;2;2;7;5;1;4;1974;80;2;3;3;1;1;5111903;2022-08-16;-6;
3;5;5;61;1;1;7;5;1;4;1990;58;1;4;4;1;1;5111904;2022-09-02;3;
3;7;3;50;2;2;9;5;1;5;2022;64;1;1;1;1;1;5112101;2022-08-30;-14;
2;3;7;45;2;2;9;5;1;2;2019;50;2;3;3;1;1;5112107;2022-09-08;-5;
3;6;6;65;2;2;9;5;1;4;1984;72;2;4;4;1;1;5112206;2022-10-18;-7;
3;3;5;79;1;1;6;5;1;5;1970;72;2;1;2;1;1;5112207;2022-10-18;7;
1;6;6;58;2;2;9;5;1;2;1992;59;1;4;4;1;1;5112208;2022-10-18;-1;
3;5;7;31;2;2;11;5;2;5;2015;36;1;5;4;1;1;5112401;2022-09-24;-5;
1;7;6;56;2;2;8;5;1;1;1991;58;1;5;3;1;1;5112404;2022-09-26;-2;
3;2;5;60;2;2;8;5;2;;2012;63;2;3;3;1;1;5112406;2022-09-30;-3;
1;5;5;68;2;2;9;5;1;6;1975;69;1;;4;1;1;5112506;2022-10-20;-1;
3;6;5;50;1;1;13;5;1;5;2010;48;1;5;5;1;1;5112507;2022-10-20;2;
1;7;7;30;2;2;15;5;1;4;2015;30;1;5;5;1;1;5112602;2022-09-09;0;
3;2;5;39;1;1;9;5;1;4;2001;36;1;4;4;1;1;5112610;2022-10-03;3;
3;7;5;37;1;1;9;5;2;3;2019;30;1;5;4;1;1;5112701;2022-09-22;7;
3;6;7;58;1;1;9;5;1;4;1992;55;1;5;4;1;1;5112710;2022-09-22;3;
3;1;5;45;2;2;13;5;1;2;2019;50;;3;3;1;1;5112803;2022-10-26;-5;
3;1;5;45;2;2;13;5;1;2;2019;50;2;3;3;1;1;5112805;2022-10-26;-5;
3;3;5;36;2;2;14;5;2;2;2015;51;1;4;4;1;1;5112807;2022-10-26;-15;
3;;6;36;2;2;14;5;2;2;2015;51;;4;4;1;1;5112808;2022-10-26;-15;
3;2;6;77;1;1;8;5;1;3;1969;79;2;3;4;1;1;5112810;2022-10-25;-2;
3;4;6;58;2;2;15;5;1;2;1985;58;1;4;5;1;1;5112905;2022-09-23;0;
3;6;6;69;1;1;17;5;1;1;1982;62;2;4;4;1;1;5112906;2022-09-23;7;
2;1;4;72;2;2;8;5;1;;1971;75;1;3;4;1;1;5113102;2022-10-06;-3;
3;6;7;32;2;2;15;5;1;2;2011;36;1;4;4;1;1;5113103;2022-10-06;-4;
2;6;6;33;2;2;15;5;8;5;2011;34;1;4;3;1;1;5113104;2022-10-06;-1;
1;4;7;69;2;2;8;5;1;2;1983;62;1;4;3;1;1;5113105;2022-10-06;7;
2;;5;67;2;2;6;5;1;2;1974;81;1;2;3;1;1;5113106;2022-10-06;-14;
1;7;7;50;2;2;7;5;1;4;1993;53;1;3;4;1;1;5113110;2022-10-06;-3;
3;6;4;39;2;2;9;5;2;3;2010;39;1;4;3;1;1;5113203;2022-10-21;0;
3;7;6;45;1;1;9;5;1;5;2002;45;1;5;5;1;1;5113204;2022-10-21;0;
1;3;6;58;2;2;7;5;1;6;1996;60;1;4;4;1;1;5113208;2022-10-21;-2;
1;6;6;55;2;2;9;5;1;6;2000;55;1;5;4;1;1;5113210;2022-10-21;0;
1;7;6;42;2;2;9;5;2;6;2021;40;1;5;4;1;1;5113504;2022-10-21;2;
1;7;6;28;2;2;9;5;2;6;2022;28;1;5;4;1;1;5113505;2022-10-21;0;
1;1;5;69;2;2;7;5;1;6;1973;73;2;3;3;1;1;5113506;2022-10-21;-4;
3;2;7;65;1;1;7;5;1;4;2004;73;2;3;3;1;1;5113510;2022-10-21;-8;
1;5;7;66;2;2;7;5;1;1;1975;71;1;1;3;1;1;5113602;2022-09-28;-5;
3;7;7;54;1;1;13;5;1;3;2002;49;1;3;4;1;1;5113603;2022-09-28;5;
3;6;6;26;2;2;15;5;8;3;2018;36;1;3;4;1;1;5113604;2022-09-28;-10;
1;4;3;57;2;2;9;5;1;4;1985;57;2;3;3;1;1;5113606;2022-10-09;0;
3;5;6;40;1;1;9;5;1;3;2003;38;1;4;4;1;1;5113607;2022-10-09;2;
2;5;6;78;2;2;8;5;1;3;1969;82;2;4;4;1;1;5113801;2022-10-21;-4;
2;4;6;41;2;2;7;5;1;2;2008;58;2;3;3;1;1;5113802;2022-10-21;-17;
1;7;7;54;2;2;9;5;1;2;1988;59;;4;4;1;1;5113805;2022-10-21;-5;
1;7;1;30;2;2;9;5;2;6;2014;39;1;2;2;1;1;5113806;2022-10-21;-9;
2;4;7;70;2;2;8;5;1;3;1985;75;2;4;4;1;1;5114001;2022-10-06;-5;
1;5;5;50;2;2;7;5;2;6;1992;52;1;3;3;1;1;5114002;2022-10-06;-2;
1;6;6;50;2;2;7;5;1;6;1997;52;1;4;4;1;1;5114003;2022-10-06;-2;
3;6;5;30;2;2;15;5;8;1;2021;27;1;3;4;1;1;5114101;2022-08-30;3;
3;5;5;45;2;2;13;5;1;2;2014;50;1;4;4;1;1;5114201;2022-10-09;-5;
1;6;6;78;2;2;7;5;1;2;1970;72;2;3;5;1;1;5114203;2022-09-28;6;
3;7;5;33;2;2;9;5;8;5;2018;33;1;2;3;1;1;5114206;2022-09-28;0;
1;7;7;37;2;2;9;5;1;6;2007;40;1;4;4;1;1;5114208;2022-09-28;-3;
1;;6;73;2;2;7;5;1;6;1980;78;;3;4;1;1;5114209;2022-09-28;-5;
3;7;7;32;2;2;9;5;2;3;2005;34;1;5;3;1;1;5114210;2022-09-28;-2;
2;6;6;65;1;1;6;5;1;3;1984;63;1;4;3;1;1;5114301;2022-09-28;2;
1;6;6;65;2;2;7;5;1;6;1973;67;1;3;3;1;1;5114302;2022-09-28;-2;
1;6;7;53;2;2;7;5;1;6;1992;53;2;4;3;1;1;5114306;2022-09-28;0;
3;7;7;42;2;2;15;5;8;3;2001;43;1;4;4;1;1;5114309;2022-09-28;-1;
1;7;7;63;2;2;1;5;1;1;1960;68;2;1;3;1;1;5114401;2022-08-30;-5;
1;7;2;52;2;2;7;5;2;6;2005;55;1;3;3;1;1;5114406;2022-08-30;-3;
1;7;7;55;2;2;9;5;2;6;2018;53;1;3;5;1;1;5114410;2022-08-30;2;
1;7;7;43;2;2;15;5;3;6;2001;53;1;4;4;1;1;5114503;2022-09-28;-10;
1;6;6;53;2;2;14;5;1;6;2006;45;1;1;3;1;1;5114504;2022-09-28;8;
3;7;7;65;1;1;15;5;1;4;1980;55;1;4;4;1;1;5114510;2022-09-28;10;
2;6;4;32;2;2;11;5;1;1;2009;40;1;3;4;1;1;5114602;2022-08-30;-8;
1;6;3;55;2;2;9;5;1;6;1993;55;1;3;4;1;1;5114610;2022-08-30;0;
1;7;7;38;2;2;9;5;1;6;2006;41;1;4;4;1;1;5114701;2022-10-06;-3;
1;4;4;62;2;2;9;5;2;6;2010;67;2;3;3;1;1;5114703;2022-10-06;-5;
1;5;6;50;2;2;9;5;1;6;1994;50;1;4;4;1;1;5114705;2022-10-06;0;
3;7;7;29;1;1;9;5;2;4;2017;28;1;5;5;1;1;5114707;2022-10-06;1;
3;6;6;30;1;1;13;5;2;3;2018;30;1;5;4;1;1;5114708;2022-10-06;0;
2;5;7;57;2;2;9;5;1;3;1989;56;1;4;4;1;1;5114802;2022-10-21;1;
3;7;6;58;2;2;13;5;8;2;2022;54;1;4;4;1;1;5114804;2022-10-21;4;
2;7;7;52;2;2;15;5;1;2;1999;60;;4;4;1;1;5114807;2022-10-21;-8;
1;7;7;40;2;2;15;5;1;6;2006;46;1;4;5;1;1;5114903;2022-08-30;-6;
3;7;7;44;2;2;9;5;2;3;2002;48;1;4;4;1;1;5115001;2022-10-06;-4;
2;7;5;21;2;2;14;5;8;6;2021;24;1;3;4;1;1;5115102;2022-08-30;-3;
3;7;7;33;2;2;9;5;8;3;2012;39;1;4;4;1;1;5115202;2022-10-21;-6;
3;7;7;22;1;1;9;5;8;3;2020;21;;3;3;1;1;5115203;2022-10-21;1;
1;7;6;56;2;2;9;5;1;;1989;56;1;4;4;1;1;5115505;2022-10-29;0;
3;4;7;64;2;2;15;5;1;5;1977;65;;3;5;1;1;5115508;2022-10-29;-1;
1;6;6;28;2;2;9;5;2;2;2021;45;1;3;4;1;1;5115510;2022-10-29;-17;
3;6;5;31;1;1;9;5;2;4;2016;25;1;3;4;1;1;5115601;2022-10-29;6;
3;7;7;54;1;1;15;5;1;4;1995;50;1;3;4;1;1;5115604;2022-10-29;4;
3;5;6;63;1;1;13;5;1;4;1996;56;1;5;4;1;1;5115605;2022-10-29;7;
3;7;5;28;1;1;13;5;2;4;2021;29;1;4;5;1;1;5115702;2022-10-22;-1;
2;7;6;34;2;2;13;5;2;2;2011;38;1;4;4;1;1;5115706;2022-10-22;-4;
1;6;7;47;2;2;9;5;1;1;1996;48;1;4;4;1;1;5115707;2022-10-22;-1;
2;5;4;53;2;2;7;5;1;2;1983;62;2;4;3;1;1;5115709;2022-10-22;-9;
1;5;5;53;2;2;9;5;1;6;1987;56;1;3;3;1;1;5115807;2022-10-01;-3;
3;5;4;21;1;1;9;5;2;4;2020;25;1;2;4;1;1;5115810;2022-10-01;-4;
3;4;6;76;1;1;7;5;1;3;1970;76;2;4;3;1;1;5115903;2022-10-29;0;
2;6;6;63;2;2;9;5;6;2;2009;65;1;4;4;1;1;5115906;2022-10-29;-2;
3;7;7;67;1;1;9;5;1;4;1978;67;1;5;4;1;1;5115907;2022-10-29;0;
2;6;6;58;2;2;13;5;1;2;1993;58;1;4;4;1;1;5116001;2022-09-01;0;
2;5;6;40;2;2;15;5;2;2;2021;43;1;4;4;1;1;5116004;2022-09-01;-3;
1;2;4;63;2;2;9;5;1;6;1980;63;2;3;3;1;1;5116101;2022-10-01;0;
3;7;7;69;1;1;9;5;1;5;1972;68;1;3;3;1;1;5116104;2022-10-01;1;
2;6;7;58;2;2;15;5;1;4;1991;58;1;4;4;1;1;5116105;2022-10-01;0;
3;;6;65;2;2;17;5;1;3;1978;67;2;4;4;1;1;5116108;2022-10-01;-2;
1;6;6;46;2;2;13;5;1;6;1998;52;1;4;4;1;1;5116206;2022-09-05;-6;
1;6;6;61;2;2;13;5;1;6;1981;65;2;5;4;1;1;5116207;2022-09-05;-4;
1;7;7;18;2;2;9;5;2;6;2020;20;1;5;4;1;1;5116209;2022-09-05;-2;
1;7;6;50;2;2;9;5;1;5;1993;54;1;4;4;1;1;5116303;2022-10-21;-4;
3;7;7;48;1;1;13;5;1;4;2004;40;1;5;4;1;1;5116305;2022-10-21;8;
3;5;5;23;2;2;9;5;1;3;2018;25;1;4;3;1;1;5116410;2022-09-01;-2;
2;5;5;57;2;2;9;5;1;1;1988;57;1;3;3;1;1;5116505;2022-09-01;0;
2;7;6;63;1;1;9;5;1;2;1981;62;1;4;3;1;1;5116506;2022-09-01;1;
1;7;7;66;2;2;9;5;1;6;1982;66;1;4;4;1;1;5116507;2022-09-01;0;
3;7;5;29;2;2;13;5;8;3;2011;34;;4;4;1;1;5116608;2022-10-29;-5;
3;7;7;30;1;1;9;5;2;5;2021;24;1;4;4;1;1;5116702;2022-10-21;6;
3;5;5;70;2;2;7;5;1;4;1970;71;2;3;4;1;1;5116705;2022-10-21;-1;
1;5;5;49;2;2;9;5;2;6;2000;53;1;3;3;1;1;5116801;2022-10-28;-4;
3;5;3;75;2;2;8;5;1;3;1990;74;1;3;4;1;1;5116802;2022-10-28;1;
3;4;4;37;2;2;9;5;2;3;2011;45;;3;2;1;1;5116803;2022-10-28;-8;
2;7;7;61;2;2;9;5;1;2;1993;71;1;4;4;1;1;5116804;2022-10-28;-10;
3;6;6;85;1;1;8;5;1;2;1982;84;2;3;4;1;1;5116806;2022-10-28;1;
2;5;7;63;2;2;15;5;1;2;1998;53;2;4;4;1;1;5116808;2022-10-28;10;
3;7;7;46;1;1;14;5;2;5;2014;39;1;4;5;1;1;5116810;2022-10-28;7;
1;7;5;30;2;2;13;5;1;6;2016;43;1;4;3;1;1;5116902;2022-09-01;-13;
3;7;6;36;1;1;13;5;1;5;2012;30;1;4;4;1;1;5116910;2022-09-01;6;
1;7;3;23;2;2;9;5;2;6;2020;25;1;3;4;1;1;5117006;2022-10-01;-2;
3;6;6;64;1;1;1;5;2;5;1980;58;1;3;3;1;1;5117009;2022-10-01;6;
3;2;1;61;2;2;15;5;1;3;1985;64;1;3;4;1;1;5117201;2022-10-17;-3;
2;7;7;29;2;2;9;5;1;5;2013;30;1;3;4;1;1;5117202;2022-10-17;-1;
3;6;6;27;2;2;15;5;1;3;2015;35;1;4;4;1;1;5117203;2022-10-10;-8;
3;6;7;55;2;2;9;5;1;3;2018;61;1;3;3;1;1;5117210;2022-10-22;-6;
2;7;7;53;2;2;13;5;1;2;2001;52;1;3;5;1;1;5117305;2022-10-28;1;
2;;6;80;2;2;7;5;1;2;1963;81;2;3;3;1;1;5117309;2022-10-28;-1;
3;6;6;29;2;2;9;5;2;2;2013;29;1;4;4;1;1;5117310;2022-10-28;0;
3;6;;72;2;2;15;5;1;4;1991;75;2;3;4;1;1;5117401;2022-10-29;-3;
3;7;5;25;2;2;14;5;2;3;2022;26;1;4;4;1;1;5117504;2022-10-22;-1;
2;7;6;30;1;1;9;5;8;3;2022;29;1;4;4;1;1;5117505;2022-10-22;1;
2;4;6;61;2;2;11;5;1;2;1990;59;2;3;4;1;1;5117506;2022-10-22;2;
1;5;7;55;1;1;9;5;5;6;2002;50;1;5;3;1;1;5117510;2022-10-22;5;
3;6;6;55;1;1;13;5;1;4;1991;53;1;4;4;1;1;5117604;2022-10-29;2;
2;2;7;72;2;2;6;5;1;2;1989;70;2;5;4;1;1;5117609;2022-10-29;2;
1;7;7;59;2;2;9;5;2;1;2001;58;1;5;4;1;1;5117701;2022-10-20;1;
2;5;6;62;2;2;13;5;1;4;1986;61;1;3;4;1;1;5117704;2022-10-20;1;
3;7;5;44;1;1;9;5;2;3;2018;31;1;4;3;1;1;5117806;2022-10-29;13;
2;6;6;48;1;1;13;5;5;2;2016;28;1;4;4;1;1;5117807;2022-10-20;20;
3;1;5;74;2;2;11;5;1;2;1967;52;2;4;4;1;1;5117901;2022-10-28;22;
2;1;7;79;2;2;6;5;1;3;1960;83;2;3;5;1;1;5117908;2022-10-28;-4;
3;6;5;57;2;2;9;5;1;4;1997;54;1;3;5;1;1;5117909;2022-10-28;3;
1;6;4;44;2;2;11;5;2;1;1998;45;1;3;4;1;1;5118001;2022-10-20;-1;
3;7;6;75;1;1;9;5;1;4;1992;75;1;3;4;1;1;5118004;2022-10-20;0;
1;1;7;70;2;2;8;5;1;6;1979;76;2;3;3;1;1;5118007;2022-10-20;-6;
3;5;5;60;1;1;9;5;2;2;2002;65;1;5;4;1;1;5118008;2022-10-20;-5;
2;1;5;60;2;2;9;5;2;2;1997;57;2;3;3;1;1;5118010;2022-10-20;3;
3;7;7;57;1;1;13;5;1;5;1980;60;1;4;4;1;1;5118104;2022-10-20;-3;
3;7;7;77;2;2;6;5;1;4;1964;81;2;4;4;1;1;5118107;2022-10-20;-4;
3;7;7;42;1;1;9;5;2;4;2010;33;1;4;4;1;1;5118109;2022-10-28;9;
3;4;3;57;2;2;13;5;1;2;1992;60;2;4;4;1;1;5118210;2022-09-05;-3;
3;7;7;26;2;2;15;5;2;3;2021;27;1;4;4;1;1;5118302;2022-09-01;-1;
2;3;5;68;2;2;6;5;1;3;1979;79;2;3;3;1;1;5118307;2022-09-01;-11;
2;5;5;68;2;2;6;5;1;2;1986;58;1;3;3;1;1;5118309;2022-09-01;10;
2;1;5;78;2;2;8;5;1;2;1973;77;;4;5;1;1;5118404;2022-10-29;1;
2;6;6;65;2;2;12;5;1;2;1980;61;1;3;3;1;1;5118501;2022-09-05;4;
2;7;7;27;2;2;13;5;2;2;2020;25;1;4;5;1;1;5118505;2022-09-05;2;
2;7;7;29;2;2;9;5;2;2;2019;31;1;4;4;1;1;5118507;2022-09-05;-2;
1;7;7;67;2;2;10;5;1;1;1987;76;1;4;5;1;1;5118606;2022-10-08;-9;
1;7;7;62;2;2;13;5;1;6;1992;54;2;5;5;1;1;5118609;2022-10-08;8;
1;7;7;27;2;2;13;5;1;1;2017;38;1;5;5;1;1;5118610;2022-10-08;-11;
3;5;7;66;2;2;7;5;1;4;1974;71;1;3;3;1;1;5118702;2022-10-17;-5;
2;7;7;34;2;2;7;5;8;2;2008;42;1;4;4;1;1;5118704;2022-10-21;-8;
3;4;5;34;2;2;15;5;1;3;2016;44;1;3;4;1;1;5118706;2022-10-17;-10;
3;7;7;51;1;1;15;5;1;4;1991;50;1;4;5;1;1;5118708;2022-10-21;1;
3;7;7;55;1;1;12;5;1;5;2018;49;1;4;4;1;1;5118803;2022-10-29;6;
3;6;4;29;1;1;9;5;2;5;1999;31;1;4;4;1;1;5118805;2022-10-29;-2;
1;7;6;37;2;2;11;5;2;5;2004;39;1;5;4;1;1;5118809;2022-10-28;-2;
3;7;7;48;1;1;9;5;1;4;2012;28;1;4;4;1;1;5118901;2022-09-08;20;
3;5;5;56;1;1;9;5;1;5;1988;53;2;3;2;1;1;5118908;2022-09-08;3;
3;6;6;75;1;1;7;5;1;4;1968;73;1;4;3;1;1;5119004;2022-09-08;2;
2;5;6;33;1;1;14;5;2;4;2015;26;1;4;3;1;1;5119006;2022-09-08;7;
3;6;6;35;1;1;15;5;2;4;2016;34;1;4;4;1;1;5119007;2022-09-08;1;
2;7;6;35;1;1;11;5;2;3;2011;38;1;4;4;1;1;5119008;2022-09-08;-3;
1;7;7;80;2;2;7;5;1;2;1967;88;2;3;4;1;1;5119103;2022-10-08;-8;
1;7;7;60;2;2;9;5;1;6;1985;59;1;3;4;1;1;5119108;2022-10-08;1;
2;7;5;38;1;1;9;5;2;4;2015;40;1;3;4;1;1;5119203;2022-10-28;-2;
2;5;5;48;2;2;9;5;2;2;1997;49;1;3;4;1;1;5119204;2022-10-29;-1;
2;;4;75;2;2;7;5;1;3;2008;74;2;3;4;1;1;5119206;2022-10-28;1;
3;3;7;63;2;2;15;5;1;3;1984;67;2;4;4;1;1;5119207;2022-10-29;-4;
3;7;7;50;1;1;9;5;1;5;1990;52;1;4;4;1;1;5119301;2022-09-08;-2;
2;6;6;23;2;2;9;5;2;1;2020;33;1;3;4;1;1;5119304;2022-09-08;-10;
3;6;6;50;1;1;7;5;1;4;1996;47;1;3;3;1;1;5119306;2022-09-08;3;
3;7;7;53;1;1;7;5;1;5;1988;54;1;5;5;1;1;5119308;2022-09-08;-1;
3;7;7;57;1;1;9;5;1;4;1984;52;1;3;4;1;1;5119310;2022-09-05;5;
3;5;7;38;2;2;9;5;8;2;2015;50;1;4;4;1;1;5119505;2022-10-29;-12;
3;7;7;70;2;2;10;5;2;4;2017;67;1;4;4;1;1;5119601;2022-10-09;3;
3;7;5;60;2;2;12;5;1;3;2008;70;1;3;4;1;1;5119606;2022-10-10;-10;
2;5;5;60;2;2;15;5;1;3;1988;64;1;3;3;1;1;5119701;2022-10-28;-4;
2;5;7;67;2;2;7;5;1;3;1973;72;1;3;4;1;1;5119703;2022-10-28;-5;
2;6;6;43;2;2;7;5;2;4;2003;50;1;4;4;1;1;5119706;2022-10-28;-7;
3;7;7;49;1;1;9;5;1;5;2002;47;1;4;4;1;1;5119707;2022-10-29;2;
3;6;7;70;2;2;9;5;1;6;1982;68;1;4;4;1;1;5119803;2022-10-22;2;
1;;4;86;2;2;6;5;1;2;1953;88;;3;2;1;1;5120001;2022-10-29;-2;
1;6;6;54;2;2;9;5;1;1;1987;59;;5;4;1;1;5120002;2022-10-29;-5;
3;7;7;52;1;1;10;5;5;4;2007;36;1;4;4;1;1;5120101;2022-10-22;16;
3;6;6;28;1;1;13;5;2;4;2018;28;1;5;4;1;1;5120107;2022-10-23;0;
3;1;5;42;2;2;13;5;2;4;2008;38;2;3;3;1;1;5120401;2022-10-21;4;
2;5;6;65;2;2;14;5;1;3;1981;68;1;3;3;1;1;5120407;2022-10-21;-3;
3;7;7;74;1;1;9;5;1;3;1984;67;1;5;5;1;1;5120410;2022-10-21;7;
1;7;7;38;2;2;9;5;1;6;2012;41;1;4;3;1;1;5120605;2022-10-29;-3;
1;5;6;41;2;2;9;5;1;6;2006;41;1;4;4;1;1;5120609;2022-10-29;0;
3;6;4;72;2;2;7;5;1;4;1990;65;1;5;3;1;1;5120610;2022-10-08;7;
3;4;7;94;1;1;6;5;1;3;1968;88;2;3;3;1;1;5120704;2022-10-06;6;
