p93;i_6_p9;i_2_p9;p4;p1;p3;p5;region;p7;p92;p84;p91;p96;p10;p8;p81;p83;folio_encuesta;fecha;diferencia_edad_pareja;anios_convivencia_aprox
3;5;7;48;1;1;8;1;8;3;2021;45;1;4;4;1;1;1105206;2022-09-08;3;
1;3;3;65;2;2;8;1;1;3;1979;69;2;3;2;1;1;1105207;2022-09-08;-4;
2;5;7;82;1;1;6;1;1;3;1960;83;;4;5;1;1;1105208;2022-09-08;-1;
1;7;7;39;2;2;11;1;1;1;2013;42;1;3;5;1;1;1105405;2022-09-08;-3;
3;1;5;72;2;2;7;1;1;1;1973;72;;3;4;1;1;1105410;2022-08-31;0;
3;7;7;33;1;1;9;1;1;4;2019;35;1;5;5;1;1;1105503;2022-09-01;-2;
3;6;1;44;1;1;8;1;8;3;1998;44;2;4;5;1;1;1105505;2022-09-01;0;
3;6;5;24;2;2;9;1;3;2;2020;26;1;4;4;1;1;1105507;2022-08-30;-2;
1;7;7;29;2;2;9;1;2;6;2017;32;1;3;4;1;1;1105509;2022-08-24;-3;
1;6;5;28;2;2;13;1;2;6;2011;31;2;4;5;1;1;1105702;2022-11-05;-3;
1;5;4;53;2;2;9;1;8;2;1993;63;2;3;4;1;1;1105706;2022-11-05;-10;
1;5;6;56;2;2;7;1;5;6;1995;53;;4;4;1;1;1105709;2022-11-05;3;
3;7;6;33;1;1;9;1;3;4;2017;34;1;4;4;1;1;1105801;2022-08-29;-1;
3;6;4;32;2;2;15;1;2;3;2012;32;1;3;3;1;1;1105802;2022-08-30;0;
3;7;6;26;2;2;9;1;2;2;2020;26;1;3;3;1;1;1105803;2022-08-31;0;
1;7;2;54;1;1;7;1;8;2;1992;63;2;5;5;1;1;1105806;2022-08-29;-9;
2;6;4;76;2;2;6;1;1;2;1971;75;1;3;4;1;1;1105807;2022-08-29;1;
2;6;6;43;2;2;9;1;2;1;2006;46;1;4;4;1;1;1105808;2022-08-30;-3;
